City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,Veraval,IN,80.15,overcast clouds,20.9,70.3667,Lords Inn Somnath
319,Mongo,TD,72.39,light rain,12.1844,18.693,Résidences du Programme FIDA
322,Outram,MY,78.82,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
324,Bubaque,GW,80.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
325,Nabire,ID,73.92,broken clouds,-3.3667,135.4833,Hotel Nusantara I
329,Seoul,KR,72.79,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
330,Unidad,PH,74.79,overcast clouds,8.535,126.2306,Baybay ni Duardo
331,Shibetsu,JP,68.58,overcast clouds,43.659,145.132,Hotel Kawabata Shibetsu
333,Kopong,BW,68.77,clear sky,-24.4833,25.8833,MsLo Kopong residency
334,Qinhuangdao,CN,67.12,clear sky,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
335,Tecoanapa,MX,77.05,overcast clouds,16.5167,-98.75,Hotel Manglares
336,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
340,Tripoli,LY,81.03,clear sky,32.8752,13.1875,Al Waddan Hotel
341,Alugan,PH,78.73,overcast clouds,12.2188,125.4808,JM Lodge
344,Biak,ID,75.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
350,Syracuse,IT,76.37,few clouds,37.0881,15.2792,Hotel Posta
352,Guerrero Negro,MX,74.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
353,Villa Carlos Paz,AR,78.39,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
354,Albion,US,82.35,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
355,Kaduqli,SD,71.42,broken clouds,11.0167,29.7167,Nussyba
359,Fortuna,US,66.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
360,Asyut,EG,78.62,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
362,Anloga,GH,76.98,overcast clouds,5.7947,0.8973,Pin Drop Hotel
371,Sorong,ID,76.93,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
373,Hobyo,SO,75.9,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
374,Kapit,MY,72.88,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
376,Ratnagiri,IN,77.0,broken clouds,16.9833,73.3,Hotel Landmark
377,Vangaindrano,MG,66.94,light rain,-23.35,47.6,Hotel Fanilo
378,Sumenep,ID,78.66,broken clouds,-7.0167,113.8667,Family Nur Hotel
382,Houma,US,84.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
384,Goderich,CA,80.91,scattered clouds,43.7501,-81.7165,Harmony Inn
385,Ipixuna,BR,80.78,overcast clouds,-1.7625,-48.8043,Chalé do Mato
388,Laharpur,IN,74.44,overcast clouds,27.7167,80.9,Babu Ji Moeed
389,Arrecife,ES,75.18,few clouds,28.963,-13.5477,Hotel Lancelot
390,Brasilia De Minas,BR,82.31,overcast clouds,-16.2064,-44.4333,Hotel Neris
393,Lazaro Cardenas,MX,76.55,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
394,Nabinagar,BD,77.07,broken clouds,23.8917,90.9733,মুক্তিযোদ্ধা শওকতুর রহমান চৌধুরী
395,Pouembout,NC,76.78,clear sky,-21.1333,164.9,Camping de Tipenga
396,Alibag,IN,77.07,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
399,Puerto Del Rosario,ES,76.75,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
400,Ibipeba,BR,79.74,clear sky,-11.6408,-42.0111,Quitanda santos
402,Vao,NC,72.34,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
405,Prado,BR,68.65,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
408,Asahikawa,JP,67.77,broken clouds,43.7678,142.3703,Hoshino Resorts OMO7 Asahikawa
409,Ambon,ID,76.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
412,Nemuro,JP,66.87,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
413,Nola,IT,71.92,broken clouds,40.922,14.5329,Palazzo Giordano Bruno
414,Maragogi,BR,74.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
417,Noumea,NC,76.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
421,Vanimo,PG,78.26,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
425,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
426,Sao Filipe,CV,78.1,few clouds,14.8961,-24.4956,Hotel Xaguate
427,Nouadhibou,MR,74.03,clear sky,20.931,-17.0347,El Medina
430,Kushiro,JP,67.41,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
439,Ormond Beach,US,82.29,broken clouds,29.2858,-81.0559,Makai Beach Lodge
440,Huarmey,PE,66.51,scattered clouds,-10.0681,-78.1522,Hotel Miramar
441,Tura,IN,73.92,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
443,Borborema,BR,71.56,clear sky,-21.6197,-49.0736,Reday Hotel
444,Coahuayana,MX,77.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
445,Banjar,ID,74.5,overcast clouds,-8.19,114.9675,The Hamsa Resort
446,Kashi,CN,70.48,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
447,Honiara,SB,83.32,broken clouds,-9.4333,159.95,Heritage Park Hotel
448,Tomatlan,MX,80.71,overcast clouds,19.9333,-105.25,El Salvial
452,Loreto,MX,73.13,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
453,Palau,PW,82.76,overcast clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
455,Cururupu,BR,75.92,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
456,Kirakira,SB,82.65,broken clouds,-10.4544,161.9205,SanBiz Lodge
457,Vikramasingapuram,IN,76.87,overcast clouds,8.714,77.3893,Papanasam Lodge (Raja Lodge & Tourist Home)
458,Marovoay,MG,70.12,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
460,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
461,Dubrovnik,HR,65.84,broken clouds,42.6481,18.0922,Hotel Dubrovnik Palace
464,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
467,Denpasar,ID,74.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
468,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
469,Cayhagan,PH,79.75,broken clouds,9.6697,122.4256,Melrose Beach Resort
471,Kahta,TR,81.77,clear sky,37.7855,38.6237,KommageneİZ Hotel
474,Kieta,PG,83.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
475,Parit Buntar,MY,78.78,broken clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
477,Todos Santos,MX,79.66,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
478,Amahai,ID,76.73,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
479,Ko Samui,TH,81.72,overcast clouds,9.5357,99.9357,The Passage
482,Westport,US,72.12,clear sky,41.1415,-73.3579,The Westport Inn
485,Khowst,AF,71.89,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
486,Oranjestad,AW,84.49,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
488,Kirksville,US,75.15,clear sky,40.1948,-92.5833,Budget Host-Village Inn
491,Shintomi,JP,79.32,light rain,32.0785,131.4723,ホテルスイート
493,Broome,US,77.85,clear sky,42.2506,-75.833,Chenango Valley State Park
496,Teluk Nibung,ID,73.94,overcast clouds,3.001,99.8164,Hotel Assyifa
499,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
500,La Orilla,MX,76.37,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
501,Mokobeng,BW,72.12,clear sky,-22.9965,27.6678,Omphile B. Molefhe
502,Tezu,IN,74.21,overcast clouds,27.9167,96.1667,Circuit House
503,Saint Paul,US,84.61,clear sky,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
504,Rongcheng,CN,68.31,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
505,Kijang,KR,74.59,overcast clouds,35.2442,129.2139,Samyang Beach Villa
508,Chuzhou,CN,68.05,clear sky,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
511,Dangriga,BZ,82.38,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
514,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
515,Beyneu,KZ,70.79,few clouds,45.3167,55.2,NUR
516,Altamira,BR,84.15,overcast clouds,-3.2033,-52.2064,Requinte Hotel
518,San Quintin,MX,72.3,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
519,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
521,Boma,GH,70.68,scattered clouds,7.0805,-2.1697,Obaatanpa Hotel
522,Kotri,PK,80.01,clear sky,25.366,68.3122,Drivers Running Room
523,Gushikawa,JP,81.63,mist,26.3544,127.8686,Kirari Guest House
524,Bahia Honda,CU,84.31,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
526,Calabozo,VE,80.65,overcast clouds,8.9242,-67.4293,Hotel Giardini
527,Brigantine,US,76.03,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
529,Binga,ZW,70.68,clear sky,-17.6203,27.3414,Lakeview Inn Binga
530,Pochutla,MX,75.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
532,Maumere,ID,77.5,overcast clouds,-8.6199,122.2111,Sylvia Hotel
533,Cabo Rojo,PR,84.97,overcast clouds,18.0866,-67.1457,Hotel Perichi's
535,Ballina,AU,66.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
536,Cahabon,GT,76.01,overcast clouds,15.5667,-89.8167,Hotel San Angelo Santa María Cahabón A.V.
537,Key West,US,80.6,moderate rain,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
539,Ondjiva,AO,68.63,clear sky,-17.0667,15.7333,COMBUESA
542,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
